name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,UHR_1,UHR_2,UHR_3,HBR_1,HBR_2,HBR_3
ENST00000390323.2,1194.1,2388.2,0,0,-13.5,1.6,-8.43,3.6e-17,1.0e-13,0,0,2535,2233.6,2396.1,0,0,0
ENST00000328933.9,483.9,21.7,946.1,43.566,5.4,0.65,8.32,8.7e-17,2.5e-13,0,0,20.5,25.1,19.6,913,992.2,933
ENST00000390325.2,237.1,474.2,0,0,-11.1,1.61,-6.93,4.2e-12,1.2e-08,0,0,491.8,417.7,513.1,0,0,0
ENST00000396425.7,435.3,40.6,830,20.434,4.4,0.64,6.85,7.2e-12,2.1e-08,0,0,38.3,36.7,46.8,845,778.3,866.7
ENST00000329492.5,205.3,7.5,403.1,53.931,5.8,0.84,6.84,8.0e-12,2.3e-08,0,0,7.5,11.6,3.4,392.9,405.9,410.5
ENST00000454349.6,146.2,0,292.3,1925.167,10.9,1.65,6.62,3.6e-11,1.0e-07,0,0,0,0,0,196.4,377.6,303
ENST00000330884.8,137.9,0,275.8,1816.054,10.8,1.64,6.6,4.2e-11,1.2e-07,0,0,0,0,0,190.1,313.6,323.6
ENST00000216133.9,167.2,17.2,317.2,18.463,4.2,0.68,6.18,6.2e-10,1.8e-06,0,0,14.4,20.3,17,302.2,341.9,307.6
ENST00000461286.4,103.3,3.5,203.2,58.042,5.9,0.97,6.04,1.5e-09,4.4e-06,0,0,4.8,4.8,0.9,217.9,182.5,209.2
ENST00000611155.4,117.3,234.6,0,0.001,-10.1,1.71,-5.93,3.0e-09,8.7e-06,0,0,381.7,168.2,154,0,0,0
ENST00000398741.5,82.3,164.7,0,0.001,-9.6,1.63,-5.89,3.8e-09,1.1e-05,0,0,194.9,131.5,167.6,0,0,0
ENST00000262795.5,223.9,24.4,423.3,17.296,4.1,0.7,5.89,3.8e-09,1.1e-05,0,0,28.7,16.4,28.1,424.4,436.3,409.3
ENST00000341184.6,168.3,18.6,318,17.081,4.1,0.7,5.89,4.0e-09,1.1e-05,0,0,22.6,13.5,19.6,317.3,330.4,306.4
ENST00000390312.2,75.6,151.2,0,0.001,-9.5,1.62,-5.85,5.0e-09,1.4e-05,0,0,131.3,153.7,168.5,0,0,0
ENST00000400358.8,56.6,0,113.2,745.139,9.5,1.64,5.83,5.6e-09,1.6e-05,0,0,0,0,0,99.5,102.8,137.2
ENST00000008876.7,69.8,3.8,135.8,36.879,5.2,0.9,5.8,6.8e-09,1.9e-05,0,0,2.1,5.8,3.4,113.3,161.5,132.6
ENST00000396426.7,65.6,0,131.2,864.258,9.8,1.69,5.76,8.4e-09,2.4e-05,0,0,0,0,0,76.8,188.8,128.1
ENST00000438934.5,91.3,7.9,174.7,22.278,4.5,0.78,5.71,1.1e-08,3.2e-05,0,0,6.2,11.6,6,182.6,180.4,161.2
ENST00000310624.6,141.8,19.3,264.2,13.715,3.8,0.67,5.65,1.6e-08,4.7e-05,0,0,17.8,22.2,17.9,244.3,270.6,277.8
ENST00000543184.5,70.9,141.7,0,0.001,-9.4,1.68,-5.59,2.3e-08,6.5e-05,0,0,207.9,94.8,122.5,0,0,0
ENST00000615612.1,146.4,20.1,272.8,13.548,3.8,0.67,5.59,2.3e-08,6.6e-05,0,0,22.6,16.4,21.3,288.4,272.7,257.3
ENST00000263201.5,56.5,113,0,0.002,-9.1,1.62,-5.58,2.3e-08,6.7e-05,0,0,110.1,112.2,116.6,0,0,0
ENST00000417669.6,56.7,0.3,113,382.101,8.6,1.54,5.58,2.5e-08,7.1e-05,0,0,0,1,0,109.6,104.9,124.6
ENST00000249075.3,49.2,95.3,3,0.032,-5,0.92,-5.42,6.0e-08,1.7e-04,0,0,101.2,93.8,91,2.5,3.1,3.4
ENST00000262738.7,66.4,132.4,0.3,0.003,-8.3,1.55,-5.38,7.4e-08,2.1e-04,0,0,151.2,100.6,145.5,0,1,0
ENST00000358763.6,44.2,3.9,84.5,22.04,4.5,0.84,5.34,9.3e-08,2.6e-04,0,0,3.4,3.9,4.3,80.6,97.5,75.5
ENST00000454366.1,44.3,87.1,1.5,0.018,-5.8,1.1,-5.29,1.2e-07,3.5e-04,0,0,87.6,87,86.8,2.5,1,1.1
ENST00000402918.6,45.6,0,91.2,600.572,9.2,1.75,5.26,1.4e-07,4.0e-04,0,0,0,0,0,68,155.2,50.3
ENST00000618236.1,29.9,0,59.8,393.625,8.6,1.65,5.21,1.9e-07,5.4e-04,0,0,0,0,0,61.7,65,52.6
ENST00000627127.1,49.9,99.3,0.4,0.004,-7.9,1.54,-5.15,2.6e-07,7.4e-04,0,0,94.4,101.5,102.1,0,0,1.1
ENST00000333039.2,257.9,48.7,467.1,9.598,3.3,0.64,5.12,3.0e-07,8.6e-04,0,0,46.5,57,42.5,488.6,464.6,448.2
ENST00000316027.10,29,0,58,382.386,8.6,1.68,5.12,3.1e-07,8.7e-04,0,0,0,0,0,45.3,54.5,74.3
ENST00000562756.1,26.4,0,52.8,347.432,8.4,1.66,5.08,3.7e-07,1.1e-03,0,0,0,0,0,50.4,58.7,49.2
ENST00000303592.3,39.5,1.3,77.7,58.171,5.9,1.17,5.02,5.1e-07,1.4e-03,0,0,1.4,0,2.6,81.9,85,66.3
ENST00000396832.5,30.4,0,60.7,399.79,8.6,1.72,5.02,5.1e-07,1.5e-03,0,0,0,0,0,69.3,79.7,33.2
ENST00000407236.5,39.1,78.2,0,0.003,-8.5,1.74,-4.91,9.1e-07,2.6e-03,0,0,63.6,126.7,44.2,0,0,0
ENST00000405655.7,41.5,82.9,0,0.003,-8.6,1.76,-4.88,1.0e-06,3.0e-03,0,0,33.5,98.6,116.6,0,0,0
ENST00000306149.11,41.5,1.5,81.5,51.377,5.7,1.17,4.86,1.2e-06,3.4e-03,0,0,2.7,1.9,0,85.6,91.3,67.5
ENST00000404898.5,63.1,1,125.2,139.336,7.1,1.49,4.79,1.7e-06,4.8e-03,1e-04,0,0,2.9,0,125.9,135.3,114.3
ENST00000455784.6,225.9,37.4,414.4,11.078,3.5,0.73,4.72,2.3e-06,6.7e-03,1e-04,0,38.3,49.3,24.7,381.6,335.6,526
ENST00000414183.6,27.2,0,54.4,358.617,8.5,1.8,4.71,2.4e-06,6.9e-03,1e-04,0,0,0,0,22.7,50.3,90.3
ENST00000216083.6,17.3,0,34.7,228.116,7.8,1.73,4.53,6.0e-06,1.7e-02,2e-04,0,0,0,0,47.9,24.1,32
ENST00000633438.1,15.6,0,31.2,205.593,7.7,1.71,4.5,6.7e-06,1.9e-02,2e-04,0,0,0,0,27.7,29.4,36.6
ENST00000621271.4,15.1,0,30.3,199.199,7.6,1.7,4.48,7.4e-06,2.1e-02,2e-04,0,0,0,0,31.5,27.3,32
ENST00000402042.5,15.3,0,30.7,202.113,7.7,1.71,4.48,7.5e-06,2.1e-02,2e-04,0,0,0,0,31.5,25.2,35.4
ENST00000427926.5,19.3,38.7,0,0.005,-7.5,1.68,-4.48,7.6e-06,2.2e-02,2e-04,0,43.1,33.8,39.1,0,0,0
ENST00000300105.6,20.3,0.3,40.3,136.226,7.1,1.6,4.44,8.9e-06,2.5e-02,2e-04,0,0,1,0,39,30.4,51.5
ENST00000463675.5,19.5,39,0,0.005,-7.5,1.73,-4.35,1.4e-05,3.9e-02,4e-04,0,50.6,43.5,23,0,0,0
ENST00000417718.6,67.2,14.9,119.5,8.025,3,0.69,4.33,1.5e-05,4.3e-02,4e-04,0,16.4,15.5,12.8,119.6,126.9,112.1
ENST00000401959.5,19.1,38.2,0,0.006,-7.5,1.75,-4.28,1.9e-05,5.3e-02,5e-04,0,19.8,46.4,48.5,0,0,0
ENST00000629869.1,16.1,32.2,0,0.007,-7.3,1.7,-4.27,1.9e-05,5.4e-02,5e-04,0,30.1,29,37.4,0,0,0
ENST00000262726.11,16.6,0.3,33,111.439,6.8,1.59,4.27,1.9e-05,5.5e-02,5e-04,0,0,0,0.9,34,28.3,36.6
ENST00000358295.9,62,6.8,117.2,17.139,4.1,0.97,4.24,2.3e-05,6.5e-02,5e-04,0,8.2,10.6,1.7,103.3,113.3,134.9
ENST00000248975.5,734.2,197.3,1271.1,6.443,2.7,0.64,4.23,2.3e-05,6.6e-02,5e-04,0,162.1,185.7,244.2,1191.3,1316.3,1305.8
ENST00000437781.5,21.4,42.5,0.4,0.01,-6.7,1.58,-4.22,2.4e-05,6.8e-02,5e-04,0,47.9,31.9,47.6,1.3,0,0
ENST00000248933.10,12.8,0,25.5,167.901,7.4,1.76,4.19,2.8e-05,7.9e-02,6e-04,0,0,0,0,35.3,24.1,17.2
ENST00000216241.13,17.4,0.3,34.5,116.532,6.9,1.64,4.18,2.9e-05,8.3e-02,6e-04,0,0,0,0.9,18.9,39.9,44.6
ENST00000337566.9,12.2,0,24.4,160.506,7.3,1.76,4.15,3.3e-05,9.3e-02,7e-04,0,0,0,0,18.9,19.9,34.3
ENST00000401994.5,11.8,0,23.5,154.903,7.3,1.76,4.13,3.7e-05,1.0e-01,8e-04,0,0,0,0,25.2,29.4,16
ENST00000443721.1,18.6,0.8,36.3,44.878,5.5,1.33,4.12,3.7e-05,1.1e-01,8e-04,0,0.7,0,1.7,37.8,47.2,24
ENST00000493076.5,32.9,61.3,4.5,0.074,-3.8,0.91,-4.12,3.7e-05,1.1e-01,8e-04,0,56.8,65.8,61.3,5,6.3,2.3
ENST00000361441.4,27.2,51.4,3,0.059,-4.1,0.99,-4.12,3.8e-05,1.1e-01,8e-04,0,56.8,45.4,51.9,1.3,3.1,4.6
